
Odczyt danych o terrainie z pliku teren2.map

  size sektora = 480.000000
  czas odnowy przedmiotu = 120.000000
  if_toroidal_world = 0
  border_x = -1.000000
  border_z = -1.000000
  liczba sekt. = 372
    mapa w=0, k=0, l.oczek = 16
    mapa w=29, k=-7, l.oczek = 8
    mapa w=29, k=-5, l.oczek = 8
    mapa w=18, k=-8, l.oczek = 8
    mapa w=9, k=4, l.oczek = 8
    mapa w=13, k=-9, l.oczek = 8
    mapa w=16, k=-2, l.oczek = 8
    mapa w=18, k=-10, l.oczek = 8
    mapa w=30, k=-12, l.oczek = 8
    mapa w=14, k=-11, l.oczek = 8
    mapa w=22, k=-1, l.oczek = 8
    mapa w=11, k=3, l.oczek = 8
    mapa w=28, k=-14, l.oczek = 8
    mapa w=13, k=-4, l.oczek = 8
    mapa w=26, k=-7, l.oczek = 8
    mapa w=24, k=-12, l.oczek = 8
    mapa w=27, k=-4, l.oczek = 8
    mapa w=14, k=-3, l.oczek = 8
    mapa w=22, k=-8, l.oczek = 8
    mapa w=23, k=-1, l.oczek = 8
    mapa w=17, k=-2, l.oczek = 8
    mapa w=19, k=-6, l.oczek = 8
    mapa w=28, k=-13, l.oczek = 8
    mapa w=28, k=-15, l.oczek = 8
    mapa w=31, k=-10, l.oczek = 8
    mapa w=28, k=-8, l.oczek = 8
    mapa w=13, k=-5, l.oczek = 8
    mapa w=25, k=-5, l.oczek = 8
    mapa w=13, k=-8, l.oczek = 8
    mapa w=24, k=-3, l.oczek = 8
    mapa w=29, k=-10, l.oczek = 8
    mapa w=20, k=-5, l.oczek = 8
    mapa w=15, k=-3, l.oczek = 8
    mapa w=12, k=3, l.oczek = 8
    mapa w=13, k=-7, l.oczek = 8
    mapa w=13, k=-6, l.oczek = 8
    mapa w=24, k=-1, l.oczek = 8
    mapa w=22, k=-9, l.oczek = 8
    mapa w=23, k=-7, l.oczek = 8
    mapa w=14, k=-10, l.oczek = 8
    mapa w=14, k=-4, l.oczek = 8
    mapa w=10, k=4, l.oczek = 8
    mapa w=22, k=-4, l.oczek = 8
    mapa w=25, k=-9, l.oczek = 8
    mapa w=27, k=-10, l.oczek = 8
    mapa w=18, k=-2, l.oczek = 8
    mapa w=16, k=-3, l.oczek = 8
    mapa w=19, k=-7, l.oczek = 8
    mapa w=24, k=-6, l.oczek = 8
    mapa w=14, k=-9, l.oczek = 8
    mapa w=14, k=-5, l.oczek = 8
    mapa w=30, k=-13, l.oczek = 8
    mapa w=22, k=-12, l.oczek = 8
    mapa w=22, k=-10, l.oczek = 8
    mapa w=25, k=-3, l.oczek = 8
    mapa w=15, k=-11, l.oczek = 8
    mapa w=11, k=4, l.oczek = 8
    mapa w=22, k=-11, l.oczek = 8
    mapa w=15, k=-4, l.oczek = 8
    mapa w=20, k=-6, l.oczek = 8
    mapa w=21, k=-5, l.oczek = 8
    mapa w=30, k=-9, l.oczek = 8
    mapa w=14, k=-8, l.oczek = 8
    mapa w=14, k=-6, l.oczek = 8
    mapa w=28, k=-6, l.oczek = 8
    mapa w=19, k=-8, l.oczek = 8
    mapa w=14, k=-7, l.oczek = 8
    mapa w=19, k=-10, l.oczek = 8
    mapa w=19, k=-9, l.oczek = 8
    mapa w=31, k=-8, l.oczek = 8
    mapa w=28, k=-4, l.oczek = 8
    mapa w=23, k=-4, l.oczek = 8
    mapa w=17, k=-3, l.oczek = 8
    mapa w=29, k=-11, l.oczek = 8
    mapa w=27, k=-11, l.oczek = 8
    mapa w=30, k=-14, l.oczek = 8
    mapa w=26, k=-5, l.oczek = 8
    mapa w=27, k=-16, l.oczek = 8
    mapa w=15, k=-10, l.oczek = 8
    mapa w=15, k=-5, l.oczek = 8
    mapa w=25, k=-10, l.oczek = 8
    mapa w=28, k=-9, l.oczek = 8
    mapa w=26, k=-8, l.oczek = 8
    mapa w=12, k=4, l.oczek = 8
    mapa w=23, k=-8, l.oczek = 8
    mapa w=21, k=-2, l.oczek = 8
    mapa w=16, k=-4, l.oczek = 8
    mapa w=27, k=-7, l.oczek = 8
    mapa w=15, k=-6, l.oczek = 8
    mapa w=26, k=-3, l.oczek = 8
    mapa w=15, k=-9, l.oczek = 8
    mapa w=18, k=-3, l.oczek = 8
    mapa w=15, k=-8, l.oczek = 8
    mapa w=15, k=-7, l.oczek = 8
    mapa w=31, k=-11, l.oczek = 8
    mapa w=20, k=-7, l.oczek = 8
    mapa w=25, k=-11, l.oczek = 8
    mapa w=25, k=-14, l.oczek = 8
    mapa w=30, k=-7, l.oczek = 8
    mapa w=22, k=-5, l.oczek = 8
    mapa w=16, k=-5, l.oczek = 8
    mapa w=17, k=-4, l.oczek = 8
    mapa w=24, k=-7, l.oczek = 8
    mapa w=22, k=-2, l.oczek = 8
    mapa w=16, k=-11, l.oczek = 8
    mapa w=25, k=-6, l.oczek = 8
    mapa w=27, k=-15, l.oczek = 8
    mapa w=29, k=-8, l.oczek = 8
    mapa w=23, k=-14, l.oczek = 8
    mapa w=29, k=-4, l.oczek = 8
    mapa w=27, k=-12, l.oczek = 8
    mapa w=23, k=-9, l.oczek = 8
    mapa w=19, k=-3, l.oczek = 8
    mapa w=27, k=-14, l.oczek = 8
    mapa w=27, k=-13, l.oczek = 8
    mapa w=21, k=-6, l.oczek = 8
    mapa w=27, k=-3, l.oczek = 8
    mapa w=25, k=-13, l.oczek = 8
    mapa w=25, k=-12, l.oczek = 8
    mapa w=20, k=-8, l.oczek = 8
    mapa w=29, k=-12, l.oczek = 8
    mapa w=24, k=-4, l.oczek = 8
    mapa w=27, k=-5, l.oczek = 8
    mapa w=23, k=-2, l.oczek = 8
    mapa w=23, k=-10, l.oczek = 8
    mapa w=26, k=-9, l.oczek = 8
    mapa w=16, k=-6, l.oczek = 8
    mapa w=16, k=-10, l.oczek = 8
    mapa w=23, k=-13, l.oczek = 8
    mapa w=30, k=-10, l.oczek = 8
    mapa w=18, k=-4, l.oczek = 8
    mapa w=20, k=-10, l.oczek = 8
    mapa w=16, k=-7, l.oczek = 8
Znaleziono w pliku teren2.map przedmioty w liczbie 224
  przedm.0, type = 1, value = 10.000000
wstawiam przedmiot 42909744: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.1, type = 1, value = 10.000000
wstawiam przedmiot 42909840: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.2, type = 1, value = 10.000000
wstawiam przedmiot 42909936: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.3, type = 1, value = 10.000000
wstawiam przedmiot 42910032: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.4, type = 1, value = 10.000000
wstawiam przedmiot 42910128: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.5, type = 1, value = 10.000000
wstawiam przedmiot 42910224: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.6, type = 1, value = 10.000000
wstawiam przedmiot 42910320: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.7, type = 1, value = 10.000000
wstawiam przedmiot 42910416: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.8, type = 1, value = 10.000000
wstawiam przedmiot 42910512: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.9, type = 1, value = 10.000000
wstawiam przedmiot 42910608: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.10, type = 1, value = 10.000000
wstawiam przedmiot 42910704: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.11, type = 1, value = 10.000000
wstawiam przedmiot 42910800: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.12, type = 1, value = 10.000000
wstawiam przedmiot 42910896: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.13, type = 1, value = 10.000000
wstawiam przedmiot 42910992: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.14, type = 1, value = 10.000000
wstawiam przedmiot 42911088: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 18, k = -2
  przedm.15, type = 1, value = 10.000000
wstawiam przedmiot 42911184: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.16, type = 1, value = 10.000000
wstawiam przedmiot 42911280: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.17, type = 1, value = 10.000000
wstawiam przedmiot 42911376: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.18, type = 1, value = 10.000000
wstawiam przedmiot 42911472: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.19, type = 1, value = 10.000000
wstawiam przedmiot 42911568: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 21, k = -4
  przedm.20, type = 1, value = 10.000000
wstawiam przedmiot 42911664: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -5
  przedm.21, type = 1, value = 10.000000
wstawiam przedmiot 42911760: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -4
  przedm.22, type = 1, value = 10.000000
wstawiam przedmiot 42911856: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -4
  przedm.23, type = 1, value = 10.000000
wstawiam przedmiot 42911952: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -4
  przedm.24, type = 1, value = 10.000000
wstawiam przedmiot 42912048: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.25, type = 1, value = 10.000000
wstawiam przedmiot 42912144: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.26, type = 1, value = 10.000000
wstawiam przedmiot 42912240: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.27, type = 1, value = 10.000000
wstawiam przedmiot 42912336: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.28, type = 1, value = 10.000000
wstawiam przedmiot 42912432: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.29, type = 1, value = 10.000000
wstawiam przedmiot 42912528: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.30, type = 1, value = 10.000000
wstawiam przedmiot 42912624: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.31, type = 1, value = 10.000000
wstawiam przedmiot 42912720: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.32, type = 1, value = 10.000000
wstawiam przedmiot 42912816: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -3
  przedm.33, type = 1, value = 10.000000
wstawiam przedmiot 42912912: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.34, type = 1, value = 10.000000
wstawiam przedmiot 42913008: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 20, k = -2
  przedm.35, type = 1, value = 10.000000
wstawiam przedmiot 42913104: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -2
  przedm.36, type = 1, value = 10.000000
wstawiam przedmiot 42913200: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 19, k = -3
  przedm.37, type = 1, value = 10.000000
wstawiam przedmiot 42913296: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.38, type = 1, value = 10.000000
wstawiam przedmiot 42913392: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.39, type = 2, value = 22.830770
wstawiam przedmiot 42913488: drzewo o wartosci 22.830770 i srednicy 1.220769 w sektor w = -1, k = 1
  przedm.40, type = 1, value = 10.000000
wstawiam przedmiot 42913584: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.41, type = 1, value = 10.000000
wstawiam przedmiot 42913680: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.42, type = 1, value = 10.000000
wstawiam przedmiot 42913776: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.43, type = 1, value = 10.000000
wstawiam przedmiot 42913872: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.44, type = 1, value = 10.000000
wstawiam przedmiot 42913968: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.45, type = 1, value = 10.000000
wstawiam przedmiot 42914064: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.46, type = 1, value = 10.000000
wstawiam przedmiot 42914160: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.47, type = 1, value = 10.000000
wstawiam przedmiot 42914256: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.48, type = 1, value = 10.000000
wstawiam przedmiot 42914352: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.49, type = 1, value = 10.000000
wstawiam przedmiot 42914448: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.50, type = 1, value = 10.000000
wstawiam przedmiot 42914544: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.51, type = 1, value = 10.000000
wstawiam przedmiot 42914640: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 1
  przedm.52, type = 1, value = 10.000000
wstawiam przedmiot 42914736: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.53, type = 1, value = 10.000000
wstawiam przedmiot 42914832: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.54, type = 1, value = 10.000000
wstawiam przedmiot 42914928: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.55, type = 1, value = 10.000000
wstawiam przedmiot 42915024: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.56, type = 1, value = 10.000000
wstawiam przedmiot 42915120: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.57, type = 1, value = 10.000000
wstawiam przedmiot 42915216: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.58, type = 1, value = 10.000000
wstawiam przedmiot 42915312: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.59, type = 1, value = 10.000000
wstawiam przedmiot 42915408: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.60, type = 1, value = 10.000000
wstawiam przedmiot 42915504: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.61, type = 1, value = 10.000000
wstawiam przedmiot 42915600: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.62, type = 1, value = 10.000000
wstawiam przedmiot 42915696: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.63, type = 1, value = 10.000000
wstawiam przedmiot 42915792: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.64, type = 1, value = 10.000000
wstawiam przedmiot 42915888: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.65, type = 1, value = 10.000000
wstawiam przedmiot 42915984: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = 0, k = 0
  przedm.66, type = 1, value = 10.000000
wstawiam przedmiot 42916080: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.67, type = 1, value = 10.000000
wstawiam przedmiot 42916176: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.68, type = 1, value = 10.000000
wstawiam przedmiot 42916272: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.69, type = 1, value = 10.000000
wstawiam przedmiot 42916368: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.70, type = 1, value = 10.000000
wstawiam przedmiot 42916464: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.71, type = 1, value = 10.000000
wstawiam przedmiot 42916560: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.72, type = 1, value = 10.000000
wstawiam przedmiot 42916656: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.73, type = 1, value = 10.000000
wstawiam przedmiot 42916752: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.74, type = 1, value = 10.000000
wstawiam przedmiot 42916848: beczka o wartosci 10.000000 i srednicy 0.525306 w sektor w = -1, k = 1
  przedm.75, type = 1, value = 10.000000
